player_id,player_first_name,player_last_name,goal_keeper,playing_time,normalized_player_minutes,substitutions_in,substitutions_out,cards_yellow,cards_yellow_red,cards_red,sendings_off,offsides,fouls_against_opponent,fouls_other,fouls_hand_ball,fouls_sum,other_player_actions,goals,shots_at_goal_held,shots_at_goal_wide,shots_at_goal_crossbar,shots_at_goal_post,shots_at_goal_blocked,shots_at_goal_other,shots_at_goal_failed,shots_at_goal_right_leg,shots_at_goal_left_leg,shots_at_goal_head,shots_at_goal_body,shots_at_goal_no_head,shots_at_goal_sum,shots_at_goal_inside_box,shots_at_goal_outside_box,assists,second_assists,first_and_second_assists,passes_from_play_successful,passes_from_play_not_successful,passes_from_play_sum,passes_from_standards_successful,passes_from_standards_not_successful,passes_from_standards_sum,passes_successful_sum,passes_not_successful_sum,passes_sum,crosses_from_play_successful,crosses_from_play_not_successful,crosses_from_play_sum,crosses_from_standards_successful,crosses_from_standards_not_successful,crosses_from_standards_sum,crosses_successful_sum,crosses_not_successful_sum,crosses_sum,passes_and_crosses_from_play_successful,passes_and_crosses_from_play_not_successful,passes_and_crosses_from_play_sum,passes_and_crosses_from_standards_successful,passes_and_crosses_from_standards_not_successful,passes_and_crosses_from_standards_sum,passes_and_crosses_successful_sum,passes_and_crosses_not_successful_sum,passes_and_crosses_sum,own_goals,own_goals_prevented,defensive_clearances,abandonments_of_ball,other_ball_actions,throw_ins,penalties_successful,penalties_not_successful,penalties_sum,corner_kicks_left,corner_kicks_right,corner_kicks_sum,free_kicks_direct,free_kicks_indirect,free_kicks_sum,kickoffs_after_goal,kickoffs,ball_control_phases,ball_actions,tackling_games_air_won,tackling_games_air_lost,tackling_games_air_sum,distance_covered,maximum_speed,participations_goal,participations_goal_indirect,participations_goal_direct,assists_shot_at_goal,participations_shot_at_goal,participations_shot_at_goal_indirect,participations_shot_at_goal_direct,sitters,participations_sitter,shots_on_target,shots_on_goal_suffered,fouls_suffered,passes_from_open_play_short,passes_from_open_play_short_successful_ratio,passes_from_open_play_medium,passes_from_open_play_medium_successful_ratio,passes_from_open_play_long,passes_from_open_play_long_successful_ratio,penalties_saved,penalties_caused,xG,xG_efficiency,goal_opportunities,chances,nutmegs,spectacular_plays,participations_goal_opportunities,shots_conversion_rate,passes_from_play_conversion_rate,passes_from_standards_conversion_rate,passes_conversion_rate,crosses_from_standards_conversion_rate,crosses_conversion_rate,crosses_from_play_conversion_rate,penalty_conversion_rate,goals_plus_assists,goals_plus_first_and_second_assists,team_id,team_three_letter_code,team_short_name,competition_id,season_id,season,matches_played,matches_played_tracking,advanced_stats_advanced_statsgoalkeeper,advanced_stats_advanced_statspasses_from_open_play_successful,advanced_stats_advanced_statsx_pass,advanced_stats_advanced_statspassing_performance,advanced_stats_advanced_statspassing_performance_rank,advanced_stats_advanced_statsdifficult_passes,advanced_stats_advanced_statsdifficult_passes_successful_ratio,advanced_stats_advanced_statsdifficult_passes_share,advanced_stats_advanced_statsplayer_pressure_count,advanced_stats_advanced_statsplayer_pressure_count_rank,advanced_stats_advanced_statsaverage_pressure,advanced_stats_advanced_statsescape_rate,advanced_stats_advanced_statsescape_rate_rank,advanced_stats_advanced_statspressure_resistance_ratio,advanced_stats_advanced_statspressure_resistance_efficiency,advanced_stats_advanced_statspasses_under_pressure_successful_ratio,xg_rankings_xg_rankingsseason_xg_rankings_xg_rankingsseasonrank,xg_rankings_xg_rankingsseason_xg_rankings_xg_rankingsseasonabsolute,xg_rankings_xg_rankingsseason_xg_rankings_xg_rankingsseasonx_goals,xg_rankings_xg_rankingsseason_xg_rankings_xg_rankingsseasongoals,xg_rankings_xg_rankingslast5matches_xg_rankings_xg_rankingslast5matchesrank,xg_rankings_xg_rankingslast5matches_xg_rankings_xg_rankingslast5matchesabsolute,xg_rankings_xg_rankingslast5matches_xg_rankings_xg_rankingslast5matchesx_goals,xg_rankings_xg_rankingslast5matches_xg_rankings_xg_rankingslast5matchesgoals,player_alias
MLS-OBJ-000396,Lionel,Messi,FALSE,44:42:42,2420,2,0,3,0,0,0,6,7,0,2,9,2,29,42,28,1,3,52,2,128,17,136,4,0,153,157,83,74,16,3,19,1049,246,1295,60,21,81,1109,267,1376,2,7,9,7,34,41,9,41,50,1051,253,1304,67,55,129,1118,308,1433,0,0,1,1,242,7,1,1,2,13,51,64,70,0,70,3,5,1834,1867,4,5,9,194395.68,30.96,49,5,44,76,255,39,216,13,25,71,0,35,524,87.98,670,79.4,101,55.45,0,0,20.346800000000002,8.6532,131,118,5,1,213,0.18,0.81,0.74,0.81,0.17,0.18,0.22,0.5,45,48,MLS-CLU-000008,MIA,Miami,MLS-COM-000001,MLS-SEA-0001K9,2025,28,28,FALSE,1047,981.65,65.35,6,489,0.61,0.38,910,2,0.56,0.57,372,0.22,92.97,0.83,3,7.96,21.04,29,549,-0.94,5.94,5,NA
MLS-OBJ-0000CX,Denis,Bouanga,FALSE,48:37:16,2657,2,8,4,0,0,0,16,49,0,2,51,0,24,46,40,0,1,36,3,126,122,26,2,0,148,150,98,52,7,2,9,625,176,801,38,15,53,663,191,854,6,35,41,8,50,58,14,85,99,631,211,842,46,65,129,677,276,971,0,0,9,0,375,18,7,1,8,44,16,60,46,0,46,7,17,1505,1543,16,33,49,314433.45,35.56,37,6,31,52,226,29,197,22,28,73,0,33,331,81.87,444,75.23,26,76.92,0,1,21.9162,2.0838,134,112,9,6,198,0.16,0.78,0.72,0.78,0.14,0.14,0.15,0.88,31,33,MLS-CLU-000001,LAFC,LAFC,MLS-COM-000001,MLS-SEA-0001K9,2025,31,31,FALSE,625,602.96,22.04,88,320,0.54,0.4,762,4,0.6,0.43,685,-0.07,-23.9,0.75,30,2.08,21.92,24,2,2.74,4.26,7,NA
MLS-OBJ-0003DI,Sam,Surridge,FALSE,53:34:49,2940,1,8,2,0,0,0,29,37,1,4,42,1,24,32,25,2,3,18,6,86,55,18,37,0,73,110,105,5,3,2,5,372,149,521,6,1,7,378,150,528,5,4,9,0,0,0,5,4,9,377,153,530,6,1,18,383,154,548,0,0,13,0,252,11,5,1,6,0,0,0,6,0,6,1,1,923,929,93,100,193,357213.29,34.8,30,4,26,29,151,19,132,21,26,56,0,45,199,80.9,300,66,22,59.09,0,0,25.5338,-1.5338,100,79,2,2,134,0.22,0.71,0.86,0.72,NA,0.56,0.56,0.83,27,29,MLS-CLU-000009,NSH,Nashville,MLS-COM-000001,MLS-SEA-0001K9,2025,34,34,FALSE,372,374.6,-2.6,660,232,0.48,0.45,382,67,0.58,0.49,586,0.02,4.18,0.72,613,-1.54,25.54,24,536,-0.85,5.85,5,NA
MLS-OBJ-00081N,Anders,Dreyer,FALSE,56:04:22,3022,0,6,4,0,0,0,19,8,0,2,10,0,19,28,26,0,2,25,5,86,16,88,1,0,104,105,66,39,17,2,19,1070,240,1310,60,31,91,1130,271,1401,10,27,37,18,56,74,28,83,111,1080,267,1347,78,87,184,1158,354,1531,0,0,1,0,178,19,3,1,4,23,65,88,74,1,75,3,5,1815,1821,1,2,3,386497.75,33.53,38,3,35,82,206,29,177,16,26,47,0,20,533,89.12,692,80.2,85,47.06,0,0,17.598,1.402,92,76,4,3,179,0.18,0.82,0.66,0.81,0.24,0.25,0.27,0.75,36,38,MLS-CLU-000065,SD,San Diego,MLS-COM-000001,MLS-SEA-0001K9,2025,34,34,FALSE,1070,1052.58,17.42,116,404,0.52,0.31,529,32,0.33,0.55,429,0.11,28.22,0.77,58,1.25,17.75,19,103,0.35,4.65,5,NA
MLS-OBJ-0001IC,Evander,Da Silva Ferreira,FALSE,50:03:48,2744,1,8,6,0,0,0,4,33,0,1,34,1,18,35,29,0,2,30,2,98,88,26,2,0,114,116,42,74,14,1,15,975,190,1165,83,17,100,1058,207,1265,4,10,14,28,61,89,32,71,103,979,200,1179,111,78,202,1090,278,1381,0,0,5,0,293,13,0,0,0,60,28,88,90,0,90,12,30,1795,1812,6,26,32,313206.63,30.74,33,3,30,83,212,23,189,3,10,53,0,45,401,86.28,687,83.26,77,74.03,0,0,8.8292,9.1708,100,97,8,15,183,0.16,0.84,0.83,0.84,0.31,0.31,0.29,NA,32,33,MLS-CLU-000007,CIN,Cincinnati,MLS-COM-000001,MLS-SEA-0001K9,2025,32,32,FALSE,972,924.22,47.78,15,377,0.63,0.32,701,6,0.49,0.57,372,0.18,59.95,0.82,1,9.17,8.83,18,17,1.47,1.53,3,Evander
MLS-OBJ-0000C1,Dejan,Joveljić,FALSE,50:48:11,2767,1,9,4,0,0,0,11,31,2,4,37,0,18,21,13,0,0,16,2,52,41,15,14,0,56,70,62,8,2,0,2,422,148,570,91,0,91,513,148,661,0,0,0,0,0,0,0,0,0,422,148,570,91,0,91,513,148,661,0,0,7,0,226,0,5,1,6,0,0,0,1,0,1,65,91,965,969,40,68,108,314786.09,32.74,20,0,20,32,114,18,96,12,14,41,0,30,289,79.24,272,69.49,9,44.44,0,0,15.7478,2.2522,67,55,1,6,100,0.26,0.74,1,0.78,NA,NA,NA,0.83,20,20,MLS-CLU-00000K,SKC,Kansas City,MLS-COM-000001,MLS-SEA-0001K9,2025,32,32,FALSE,414,413.02,0.98,452,245,0.56,0.44,432,51,0.61,0.43,685,-0.06,-11.54,0.7,29,2.13,15.87,18,485,-0.52,1.52,1,NA
MLS-OBJ-00056O,Petar,Musa,FALSE,42:29:54,2297,3,11,7,0,0,0,23,39,0,0,39,2,18,18,27,0,1,15,1,62,52,14,14,0,66,80,65,15,6,0,6,484,220,704,30,1,31,514,221,735,4,5,9,0,0,0,4,5,9,488,225,713,30,1,36,518,226,749,0,0,9,1,239,6,2,1,3,1,0,1,5,0,5,22,26,1078,1091,85,69,154,254195.88,34.38,27,3,24,29,117,13,104,15,21,36,0,25,271,77.12,371,67.39,62,40.32,0,0,15.6889,2.3111,72,57,0,5,104,0.23,0.69,0.97,0.7,NA,0.44,0.44,0.67,24,24,MLS-CLU-000005,DAL,Dallas,MLS-COM-000001,MLS-SEA-0001K9,2025,30,30,FALSE,483,484.78,-1.78,629,366,0.51,0.52,437,49,0.59,0.5,555,0.05,10.81,0.64,18,2.54,15.46,18,51,0.77,4.23,5,NA
MLS-OBJ-0003E6,Alonso,Martínez,FALSE,45:03:51,2503,1,13,2,0,0,0,14,6,1,0,7,0,17,28,23,4,5,23,3,86,91,6,6,0,97,103,75,28,1,1,2,242,83,325,13,0,13,255,83,338,0,1,1,0,0,0,0,1,1,242,84,326,13,0,14,255,84,340,0,0,3,0,177,1,5,2,7,0,0,0,0,0,0,11,12,623,634,7,40,47,263183.41,35.94,21,3,18,21,135,18,117,20,22,46,0,21,160,78.75,163,70.55,2,50,0,0,23.0316,-6.0316,86,66,2,5,109,0.17,0.74,1,0.75,NA,0,0,0.71,18,19,MLS-CLU-000004,NYC,New York City,MLS-COM-000001,MLS-SEA-0001K9,2025,30,30,FALSE,239,235.1,3.9,343,144,0.57,0.45,328,99,0.62,0.33,735,-0.31,-48.06,0.72,693,-6.03,23.03,17,559,-1.12,3.12,2,NA
MLS-OBJ-00080N,Eric Maxim,Choupo-Moting,FALSE,50:40:24,2758,2,8,4,0,0,0,32,30,0,3,33,1,17,18,9,0,2,12,3,44,34,16,11,0,50,61,53,8,4,1,5,471,152,623,42,0,42,513,152,665,1,3,4,0,0,0,1,3,4,472,155,627,42,0,42,514,155,669,0,0,4,0,284,0,5,1,6,0,0,0,3,0,3,32,39,1018,1026,58,113,171,297954.52,32.71,23,4,19,39,108,15,93,9,12,35,0,32,298,79.87,319,71.79,6,66.67,0,0,14.1424,2.8576,53,44,2,13,91,0.28,0.76,1,0.77,NA,0.25,0.25,0.83,21,22,MLS-CLU-00000B,RBNY,New York,MLS-COM-000001,MLS-SEA-0001K9,2025,33,33,FALSE,470,464.21,5.79,285,250,0.56,0.4,548,26,0.7,0.48,609,0.04,11.39,0.73,14,2.86,14.14,17,21,1.3,0.7,2,NA
MLS-OBJ-00057Y,Hugo,Cuypers,FALSE,51:05:20,2810,0,14,0,0,0,0,18,30,0,2,32,2,17,24,16,1,0,21,2,64,44,24,12,1,69,81,75,6,2,1,3,387,130,517,12,0,12,399,130,529,0,5,5,0,0,0,0,5,5,387,135,522,12,0,14,399,135,536,0,0,18,0,262,2,3,1,4,0,0,0,0,0,0,11,12,897,905,51,87,138,349060,33.8,20,1,19,32,125,24,101,16,20,41,0,31,242,82.64,260,69.23,15,46.67,0,0,21.1665,-4.1665,75,59,0,3,111,0.21,0.75,1,0.75,NA,0,0,0.75,19,20,MLS-CLU-00000F,CHI,Chicago,MLS-COM-000001,MLS-SEA-0001K9,2025,33,33,FALSE,385,389.32,-4.32,708,200,0.52,0.39,364,75,0.61,0.45,662,-0.05,-8.95,0.72,683,-4.15,21.15,17,575,-2.01,3.01,1,NA
